ID,Name,Type,Domain,Trigger,Core_Function,Inputs,Outputs,Works_With,Hardcoded
01,Holistic Life Orchestrator,hard-coded,Admin/health/income/content (all domains),Morning scan; urgent flag; manual invoke,Scan + prioritize + remind + create tasks,Emails; Drive; CSVs; deadline register,Task list; letters; reminders; tracker updates,02-10,Yes
02,Health & Stability Guardian,generic,Health & stability,Any plan risking overload/sleep/meds,Veto unstable plans; flag health in every output,Agent 01 output; user state; cache,Modified plan; health flag; micro-steps,All agents (veto),No
03,Appointment & Deadline Sentinel,generic,Dates/deadlines/reminders,Incoming email/doc; daily scan; T-30/14/7/1 alerts,Discover dates + maintain register + lead-time alerts,Emails; letters; PDFs; Drive,Register update; alert summary; calendar suggestion,01; 04; 06,No
04,Document Intake Analyst,generic,Document ingestion/routing,New PDF/letter/doc uploaded or pasted,Ingest + extract verbatim + classify + route,PDFs; letters; scanned docs,Fact extract; Do/Decide/Ignore list; routed tasks,01; 03; 06; 10,No
05,Inbox Triage Agent,generic,Gmail management,Daily scan; manual invoke,Triage into Act/Reply/Read/Waiting/Noise; daily digest,Gmail threads (read-only until approved),Triage digest; flagged action items,01; 06,No
06,Admin Correspondence Drafter,hard-coded,Formal FR/EN letters/emails,Request from user or agents 01/04/05,Draft formal letters; bilingual FR+EN; never auto-sends,Case file; agency context; evidence list,Draft (FR+EN); reference list,01; 03; 04; 05,Yes
07,Income Opportunity Scout,generic,Jobs/tutoring/income,Weekly scan; manual invoke,Scout opportunities gated on CV compliance,France Travail API; job boards; Drive CV,Opportunity shortlist; application scaffold,01; 06; 10,No
08,Content Publishing Agent,generic,WordPress/blog content,Content request; scheduled publish,Draft + schedule WP posts; credentials by reference only,Topic brief; Drive notes,WP draft (title/body/tags/category/schedule),01; 06,No
09,Weekly Planner & Prioritizer,generic,Weekly scheduling,Sunday/Monday trigger; manual invoke,Health-first weekly plan; Top-3 today + bad-day fallback,Agent 01 list; Agent 02 health; deadline register,Weekly plan (Markdown); bad-day version,01; 02; 03,No
10,Knowledge Cache Curator,generic,Central knowledge registry,On new fact; periodic review; load-first for all tasks,Maintain 6-section knowledge registry; change log,All agents; user corrections,Updated cache YAML/Markdown; change log,All agents,No
